#{"t_start": 1744592436.020156, "env_id": "None"}
r,l,t
-178.275871,200,107.375126
-202.318818,200,107.68767
-183.639842,200,107.985448
-205.498669,200,108.374711
-201.724737,200,108.698878
-201.735118,200,109.003443
-199.470728,200,109.308885
-196.539704,200,109.592466
-180.236564,200,109.879763
-172.909846,200,110.147563
-207.307966,200,110.532469
-186.649338,200,110.920661
-189.081295,200,111.28337
-202.479386,200,111.591616
-189.631559,200,111.91889
-189.331186,200,112.20694
-195.704167,200,112.516945
-198.435566,200,112.784521
-177.886049,200,113.063627
-198.177221,200,113.329734
-184.460585,200,113.609462
-198.097279,200,113.905088
-179.798949,200,114.207208
-199.260411,200,114.507593
-177.633776,200,115.045772
-194.177249,200,115.345339
-188.596124,200,115.63908
-186.254839,200,115.914095
-199.141383,200,116.306826
-168.4834,200,116.701722
-173.198252,200,117.075688
-176.505349,200,117.400532
-182.480702,200,117.766881
-195.818984,200,118.090796
-203.387888,200,118.423342
-177.847207,200,118.743113
-174.072717,200,119.089586
-202.667466,200,119.40523
-167.497423,200,119.736282
-199.160029,200,120.047599
-159.169834,200,120.380926
-183.754736,200,120.69197
-190.974959,200,121.004471
-181.568567,200,121.348807
-203.048121,200,121.721326
-174.074619,200,122.088928
-222.458,200,122.386276
-197.990801,200,122.684193
-201.027538,200,123.015668
-168.423991,200,123.314758
-206.209025,200,123.633171
-202.537417,200,123.915399
-201.423989,200,124.226637
-210.28826,200,124.52498
-201.829236,200,124.861047
-193.424874,200,125.160404
-190.839775,200,125.489488
-191.793336,200,125.827719
-193.210293,200,126.137389
-201.760574,200,126.440954
-200.29549,200,126.77295
-199.828331,200,127.094225
-201.987295,200,127.422887
-189.477748,200,127.728898
-189.067433,200,128.075344
-190.667081,200,128.407007
-193.263512,200,128.723567
-208.140972,200,129.058452
-198.053801,200,129.390285
-210.602803,200,129.694739
-204.696073,200,130.050238
-178.8611,200,130.371559
-205.283743,200,130.695108
-173.214616,200,131.01035
-188.631336,200,131.434218
-188.962158,200,131.824613
-190.673779,200,132.181536
-199.070227,200,132.480871
-202.571286,200,132.805407
-201.365372,200,133.115272
-191.548817,200,133.481969
-207.181058,200,133.842155
-190.046735,200,134.183284
-195.722865,200,134.480495
-190.481904,200,134.887683
-195.244904,200,135.185183
-202.667652,200,135.476335
-192.707017,200,135.793937
-198.30008,200,136.13904
-209.068795,200,136.435671
-188.062342,200,136.835082
-191.778819,200,137.139703
-197.990564,200,137.467146
-208.872627,200,137.778728
-199.368364,200,138.09414
-200.445472,200,138.44598
-212.136519,200,138.746235
-194.416696,200,139.042384
-187.918216,200,139.347433
-198.713957,200,139.650768
-190.095176,200,139.962138
-193.369511,200,140.241596
-200.058147,200,140.579193
-207.96707,200,140.978079
-202.498171,200,141.292302
-184.648734,200,141.592297
-199.788374,200,141.914174
-179.516971,200,142.197817
-204.367528,200,142.491197
-212.187733,200,142.76965
-203.979719,200,143.054069
-202.87091,200,143.329636
-191.191445,200,143.628242
-204.922613,200,144.001717
-200.493672,200,144.559016
-204.134132,200,145.254008
-196.463086,200,146.077851
-210.735187,200,146.54324
-181.554425,200,147.361602
-195.488821,200,147.978923
-188.748119,200,148.571591
-198.89427,200,149.282762
-191.975381,200,149.907379
-184.156738,200,150.382796
-189.179517,200,150.717711
-193.2649,200,151.039929
-194.95169,200,151.355663
-186.704205,200,151.662741
-182.146236,200,151.979091
-184.386643,200,152.285258
-182.892547,200,152.601558
-186.461329,200,152.909044
-186.569069,200,153.235001
-188.873964,200,153.553933
-183.537603,200,153.895621
-178.987823,200,154.218928
-179.976391,200,154.563976
-157.391191,200,154.871769
-172.245959,200,155.206865
-168.835574,200,155.53014
-169.254189,200,155.846948
-178.921762,200,156.144762
-155.900997,200,156.430837
-168.093342,200,156.711737
-171.140014,200,156.994816
-183.975841,200,157.268784
-161.062372,200,157.560017
-155.408589,200,157.8488
-163.093752,200,158.15775
-168.167037,200,158.434106
-158.541935,200,158.736175
-173.958837,200,159.084368
-171.3137,200,159.445121
-159.504556,200,159.789651
-177.302269,200,160.123393
-165.006939,200,160.434846
-157.217062,200,160.749421
-155.040864,200,161.062701
-163.1788,200,161.383955
-167.634363,200,161.682344
-162.169806,200,162.040367
-169.3395,200,162.401713
-146.612451,200,162.710592
-150.714534,200,162.997859
-161.785639,200,163.312126
-166.297772,200,163.590369
-150.313825,200,163.940681
-149.77495,200,164.237086
-148.299717,200,164.519302
-162.84226,200,164.790748
-228.706243,200,165.142051
-151.499299,200,165.423675
-149.040332,200,165.706101
-159.967429,200,166.017079
-143.664018,200,166.303223
-164.425471,200,166.621573
-153.272473,200,166.953268
-138.980337,200,167.274812
-160.857776,200,167.65135
-149.232148,200,167.958562
-138.533572,200,168.273414
-230.353914,200,168.602884
-142.9634,200,168.937773
-139.652657,200,169.247864
-152.089917,200,169.56181
-134.369209,200,169.869429
-145.609502,200,170.218326
-167.213854,200,170.561154
-225.640279,200,170.896484
-135.651268,200,171.228205
-211.711725,200,171.566878
-165.451941,200,171.900672
-160.442612,200,172.240565
-218.669437,200,172.566056
-223.366657,200,172.892128
-204.272571,200,173.215235
-137.683742,200,173.549397
-157.270715,200,173.861074
-232.195822,200,174.214918
-195.402794,200,174.615299
-218.692813,200,175.213398
-147.440877,200,175.505031
-235.830665,200,175.924699
-166.046093,200,176.218498
-183.779138,200,176.529103
-228.389045,200,176.818526
-187.007816,200,177.158198
-166.654648,200,177.495271
-150.965331,200,177.807929
-191.12921,200,178.100771
-174.151948,200,178.444642
-178.826422,200,178.817645
-157.393745,200,179.114861
-160.902169,200,179.400347
-176.393024,200,179.717185
-174.765018,200,180.022481
-154.622569,200,180.400874
-156.443664,200,180.703567
-175.809476,200,181.089156
-151.091896,200,181.409478
-176.799737,200,181.731289
-189.766026,200,182.056797
-177.201117,200,182.464333
-131.300397,200,182.777692
-176.606208,200,183.085272
-167.003111,200,183.431116
-179.770356,200,183.723723
-169.549026,200,184.023454
-162.622851,200,184.31432
-164.706212,200,184.592662
-168.260783,200,184.881175
-174.968313,200,185.165055
-187.273233,200,185.464032
-173.320098,200,185.800106
-173.355209,200,186.141102
-180.371483,200,186.447025
-164.8242,200,186.799914
-163.282814,200,187.101737
-187.287011,200,187.448256
-192.352204,200,187.771717
-176.10366,200,188.088253
-183.023345,200,188.389808
-206.249789,200,188.783912
-182.042835,200,189.152808
-225.188805,200,189.535038
-218.918401,200,189.913818
-217.279056,200,190.253972
-226.775477,200,190.544483
-232.641013,200,190.862369
-242.099833,200,191.181746
-235.260648,200,191.494754
-227.396619,200,191.797759
-230.893072,200,192.106205
-232.461163,200,192.415651
-251.624093,200,192.720575
-188.545365,200,193.012481
-240.631316,200,193.355878
-135.055496,200,193.652345
-111.458279,200,193.95614
-147.416165,200,194.267794
-141.422681,200,194.588837
-132.867062,200,194.907923
-124.955233,200,195.225944
-142.433499,200,195.541549
-159.780851,200,195.871539
-131.470783,200,196.185776
-142.866195,200,196.513083
-146.570067,200,196.834482
-126.628589,200,197.156046
-153.520469,200,197.468374
-135.625635,200,197.788262
-141.134494,200,198.110582
-137.290801,200,198.437336
-138.962857,200,198.756184
-134.236328,200,199.089885
-147.715627,200,199.405482
-144.943045,200,199.731648
-128.413011,200,200.08356
-140.073938,200,200.4161
-115.59642,200,200.809392
-145.299671,200,201.205853
-123.360585,200,201.553952
-134.97396,200,201.914398
-152.609629,200,202.277327
-149.881306,200,202.679525
-140.748372,200,203.065158
-180.575252,200,203.423478
-151.759402,200,203.764416
-131.273462,200,204.098247
-166.807667,200,204.429699
-136.262825,200,204.801515
-131.397606,200,205.180634
-152.711673,200,205.576532
-160.050299,200,205.942499
