#{"t_start": 1744587659.6995637, "env_id": "None"}
r,l,t
-153.881648,200,767.848361
-145.92661,200,770.199353
-193.28827,200,772.49821
-186.459073,200,774.777595
-174.166197,200,777.106859
-154.284096,200,779.380872
-179.272321,200,781.659151
-180.099435,200,783.98153
-135.633891,200,786.292275
-189.774051,200,788.653784
-197.289635,200,790.985765
-137.042639,200,793.33846
-190.93733,200,795.655076
-115.614764,200,798.13645
-172.989053,200,800.426909
-149.949224,200,802.771682
-207.761837,200,805.082783
-203.397707,200,807.404769
-149.717231,200,809.734049
-185.023366,200,812.038149
-184.870692,200,814.374891
-208.687639,200,816.695882
-158.779372,200,819.0591
-194.450339,200,821.400797
-164.023935,200,823.752043
-193.782518,200,826.094741
-176.008536,200,828.460533
-175.487908,200,830.796441
-207.290681,200,833.12451
-207.335524,200,835.448454
-237.99986,200,837.767372
-222.705445,200,840.091963
-214.977063,200,842.397276
-222.539271,200,844.746409
-226.940807,200,847.058328
-152.385648,200,849.396841
-228.832513,200,851.73341
-156.93318,200,854.119355
-236.474388,200,856.474795
-223.333057,200,858.904458
-211.301937,200,861.226647
-183.310035,200,863.589398
-214.423662,200,865.935632
-231.511857,200,868.283096
-221.757677,200,870.642087
-192.621968,200,872.989637
-183.042585,200,875.362001
-180.304134,200,877.695239
-228.680083,200,880.352406
-173.537102,200,882.938172
-234.385335,200,885.395264
-182.005118,200,887.814528
-190.605644,200,890.296359
-186.050895,200,892.823396
-257.878475,200,895.473106
-230.524095,200,898.352666
-168.239753,200,901.112044
-159.435212,200,904.035571
-183.083748,200,906.897019
-188.136417,200,909.213838
-166.754296,200,911.540967
-174.010219,200,913.969867
-206.518356,200,916.315715
-201.826805,200,918.829367
-175.573951,200,921.151184
-193.835237,200,923.483548
-190.900997,200,925.854662
-185.106761,200,928.181866
-167.327584,200,930.521187
-157.512934,200,932.871796
-180.935964,200,935.199126
-197.800631,200,937.547766
-198.131374,200,939.889799
-165.416569,200,942.248007
-190.312448,200,944.648057
-169.921582,200,946.954366
-131.473417,200,949.270977
-179.463756,200,951.654681
-154.154707,200,954.018483
-180.606462,200,956.531775
-141.77261,200,958.90236
-222.367699,200,961.421922
-180.077158,200,964.086784
-137.536243,200,966.553657
-157.454036,200,968.919569
-175.920386,200,971.30408
-177.954766,200,973.789685
-139.951827,200,976.321352
-176.052517,200,979.036814
-163.076328,200,982.003783
-179.984842,200,984.953878
-190.065546,200,988.349481
-197.233399,200,991.723528
-166.143432,200,994.937
-183.323762,200,997.933505
-195.811334,200,1000.799687
-194.599958,200,1004.047455
-197.448925,200,1006.96757
-217.322585,200,1009.920671
-203.962267,200,1012.910089
-204.695695,200,1015.810168
-155.311446,200,1018.666157
-208.643273,200,1021.912748
-141.766881,200,1024.794107
-200.345229,200,1027.669031
-157.622474,200,1030.987306
-163.464086,200,1034.014935
-167.01389,200,1037.392057
-190.578426,200,1040.47578
-143.070661,200,1043.538266
-171.992719,200,1046.890083
-169.319202,200,1050.46151
-206.900088,200,1053.484232
-142.278921,200,1056.550831
-144.251586,200,1059.787463
-144.992751,200,1062.807378
-130.9295,200,1065.786608
-226.089682,200,1069.109588
-129.299911,200,1072.049827
-163.439491,200,1075.031942
-132.175015,200,1078.33927
-154.947637,200,1081.196089
-149.184203,200,1084.039199
-159.103708,200,1086.567653
-137.714605,200,1088.89446
-149.432355,200,1091.725535
-143.645267,200,1095.189422
-149.153205,200,1098.273387
-164.834451,200,1101.275995
-168.27689,200,1103.708776
-183.448536,200,1106.201413
-171.86369,200,1108.6127
-149.045307,200,1111.7432
-152.917991,200,1114.380235
-187.530995,200,1116.966197
-137.689086,200,1119.453469
-135.783366,200,1121.902196
-147.8024,200,1124.361102
-165.318317,200,1126.934163
-146.659847,200,1129.422275
-229.093827,200,1132.33611
-216.775668,200,1135.300785
-146.407646,200,1138.6888
-149.139996,200,1143.118418
-167.843217,200,1145.750129
-160.513967,200,1148.506308
-162.16413,200,1151.472998
-161.093488,200,1154.185867
-240.701743,200,1157.098085
-204.816103,200,1160.339165
-205.936107,200,1163.377307
-205.731547,200,1166.106583
-164.454247,200,1168.673567
-168.496445,200,1171.366893
-231.181026,200,1174.102713
-129.972137,200,1176.932008
-147.011779,200,1180.168503
-225.02065,200,1182.870165
-239.845935,200,1185.937233
-112.586854,200,1189.187132
-141.92843,200,1192.650684
-177.185823,200,1196.006363
-158.259399,200,1200.537304
-203.606146,200,1204.980318
-246.492515,200,1209.51376
-228.524753,200,1213.222958
-180.627254,200,1217.270278
-221.642959,200,1221.190456
-161.877426,200,1224.811579
-154.42758,200,1228.735871
-151.111138,200,1232.509637
-224.771454,200,1236.293163
-229.181268,200,1239.770793
-208.155207,200,1243.321418
-229.195666,200,1246.500245
-187.081514,200,1249.604082
-200.910931,200,1252.736356
-212.222059,200,1256.291659
-227.10794,200,1259.812
-228.094462,200,1262.88577
-219.902681,200,1265.878837
-197.715163,200,1268.992939
-201.540168,200,1271.917722
-224.574492,200,1275.235505
-208.054337,200,1278.473943
-190.14619,200,1282.035784
-222.600559,200,1285.887112
-224.2874,200,1289.542384
-217.618787,200,1293.487823
-208.37432,200,1296.296628
-233.968843,200,1299.801917
-221.06448,200,1303.357987
-226.866549,200,1307.557752
-249.750209,200,1311.360694
-243.109594,200,1315.560817
-197.897825,200,1319.38554
-249.861209,200,1323.642172
-221.213269,200,1327.959138
-215.992736,200,1331.77498
-230.695236,200,1335.362677
-227.483829,200,1339.112758
-189.217922,200,1343.538985
-232.809254,200,1347.287509
-188.918297,200,1350.991938
-237.941984,200,1354.690523
-209.230487,200,1358.090469
-219.591631,200,1361.68116
-180.664541,200,1365.616081
-203.882273,200,1369.71405
-200.588243,200,1373.511847
-226.030657,200,1376.533384
-201.777477,200,1379.894122
-222.882473,200,1383.118123
-229.735828,200,1386.59536
-228.750641,200,1390.126795
-211.657444,200,1393.661062
-234.273306,200,1398.086105
-232.101051,200,1402.557096
-219.347247,200,1406.439393
-229.20772,200,1410.512377
-237.922341,200,1415.018656
-212.444663,200,1419.612623
-216.569723,200,1424.564541
-236.719801,200,1429.091189
-224.147032,200,1433.098981
-229.061601,200,1435.806493
-214.556758,200,1439.214422
-226.070972,200,1442.692314
-223.200127,200,1445.564495
-224.546793,200,1448.248578
-225.943569,200,1450.82472
-221.416988,200,1453.385375
-194.56641,200,1456.586377
-191.135488,200,1459.768235
-227.752197,200,1462.759039
-206.399262,200,1465.672041
-220.638772,200,1468.678822
-172.204824,200,1471.606902
-233.234361,200,1474.085487
-223.198061,200,1476.570107
-190.184358,200,1478.932338
-207.5292,200,1481.444726
-227.718058,200,1483.92939
-217.517998,200,1486.969549
-211.392245,200,1489.914209
-236.397125,200,1492.74902
-190.279826,200,1495.625549
-176.504171,200,1498.319525
-211.348419,200,1501.010073
-232.472432,200,1503.799833
-216.483217,200,1506.187561
-217.607504,200,1508.662121
-236.176252,200,1510.99408
-198.761745,200,1513.417338
-255.276908,200,1515.765993
-208.065234,200,1518.14942
-225.897468,200,1520.553571
-220.119125,200,1522.898106
-204.255957,200,1525.22976
-221.745573,200,1527.512605
-211.261328,200,1529.823926
-183.894217,200,1532.217184
-234.523505,200,1534.607269
-216.056776,200,1537.231904
-215.338756,200,1539.647723
-198.87262,200,1542.029155
-222.05437,200,1544.356707
-212.545156,200,1546.66247
-203.97188,200,1548.998425
-204.27338,200,1551.325544
-167.831335,200,1553.628574
-204.303503,200,1555.924085
-214.347462,200,1558.227749
-210.034306,200,1560.572781
-224.751297,200,1562.889496
-214.786847,200,1565.242764
-227.308917,200,1567.587107
-230.736427,200,1569.902701
-230.251617,200,1572.206108
-211.978124,200,1574.505539
-226.483074,200,1576.834115
-215.743895,200,1579.237115
-226.9881,200,1581.544755
-230.888145,200,1583.866175
-148.265436,200,1586.202943
-210.281746,200,1588.526325
-229.681281,200,1590.844147
-221.147852,200,1593.138455
-199.804675,200,1595.454813
-153.30102,200,1597.797633
-180.554389,200,1600.1068
-141.298717,200,1602.428694
-156.525358,200,1604.760233
-183.379528,200,1607.136061
-157.656348,200,1609.495812
-152.802499,200,1611.810928
-131.287406,200,1614.147509
-89.156454,200,1616.457841
-76.912253,200,1618.745671
-132.286478,200,1621.074625
-101.401365,200,1623.424189
-103.341433,200,1625.772546
-129.379006,200,1628.13426
-128.896961,200,1630.472405
-118.522638,200,1632.840134
-112.447368,200,1635.194264
-120.945002,200,1637.548753
-133.483633,200,1640.049316
-83.210698,200,1642.368865
-86.610348,200,1644.726027
-114.078088,200,1647.064947
-114.10221,200,1649.411299
-134.993187,200,1651.759283
-183.345581,200,1654.133007
-190.385006,200,1656.464937
-144.977748,200,1658.76418
-154.478171,200,1661.063629
-149.246146,200,1663.400836
-171.104916,200,1665.738405
-144.604831,200,1668.055726
-184.6314,200,1670.404821
-174.028513,200,1672.748053
-217.788169,200,1675.08747
-176.99855,200,1677.426778
-167.583476,200,1679.753028
-171.211681,200,1682.067586
-189.169649,200,1684.418517
-182.891003,200,1686.825363
-145.595488,200,1689.17114
-141.769807,200,1691.490508
-166.4299,200,1693.792459
-146.152134,200,1696.121154
-162.465669,200,1698.447713
-175.847814,200,1700.872337
-142.005271,200,1703.18084
-179.231699,200,1705.501544
-132.028193,200,1707.81854
-169.121401,200,1710.148649
-180.473872,200,1712.444726
-139.688321,200,1714.776214
-162.707496,200,1717.097765
-169.110803,200,1719.380984
-152.528448,200,1721.734806
-202.347208,200,1724.063383
-196.383801,200,1726.387572
-175.807959,200,1728.763443
-195.6369,200,1731.153942
-188.255365,200,1733.52307
-194.05882,200,1735.908692
-183.322347,200,1738.28941
-197.480361,200,1740.64443
-159.947729,200,1743.029486
-179.443482,200,1745.410591
-187.035879,200,1747.781936
-184.503985,200,1750.147615
-174.669101,200,1752.496346
-179.30526,200,1754.875479
-194.351075,200,1757.264617
-157.76629,200,1759.685959
-211.33636,200,1762.071453
-165.398881,200,1764.415552
-207.327312,200,1766.753151
-169.376805,200,1769.171515
-167.597118,200,1771.505864
-179.975085,200,1773.88603
-162.438873,200,1776.412082
-147.731384,200,1779.600088
-210.705463,200,1782.231164
-221.834441,200,1785.153749
-200.316392,200,1787.984389
-203.57371,200,1790.451093
-216.116956,200,1792.800151
-177.503964,200,1795.175922
-187.635162,200,1797.589134
-201.209104,200,1800.021014
-202.51125,200,1802.402533
-222.083601,200,1804.741883
-193.97871,200,1807.095001
-196.791831,200,1809.472353
-190.766461,200,1811.817145
-180.316081,200,1814.263192
-190.308127,200,1816.782266
-132.865953,200,1819.19785
-126.595719,200,1821.995915
-137.616048,200,1824.473284
-126.397715,200,1827.020111
-120.801708,200,1829.477215
-138.372261,200,1831.786905
-159.544763,200,1834.138785
-171.077275,200,1836.463109
-191.492338,200,1839.186802
-199.296933,200,1841.769775
-173.590054,200,1844.488098
-167.68392,200,1847.213217
-177.976257,200,1849.767258
-208.32058,200,1852.274087
-206.635021,200,1854.824721
-225.296575,200,1857.465895
-180.568225,200,1859.955873
-202.299782,200,1862.831444
-180.762614,200,1865.530643
-183.692649,200,1868.264496
-193.535445,200,1871.530559
-209.573819,200,1874.328008
-220.938994,200,1877.042704
-184.669786,200,1880.05549
-172.045331,200,1882.664061
-202.556107,200,1885.587882
-176.606811,200,1889.109574
-169.798785,200,1892.290517
-197.526054,200,1894.688137
-246.152422,200,1897.389318
-157.891768,200,1900.079637
-178.51976,200,1902.62847
-165.554741,200,1905.306214
-214.81745,200,1908.21022
-195.25544,200,1910.663716
-180.757524,200,1913.306977
-219.319848,200,1916.082673
-173.270471,200,1918.654895
-217.790974,200,1921.054203
-234.606585,200,1923.501548
-216.680433,200,1925.828268
-219.750754,200,1928.130007
-243.671273,200,1930.467703
-234.067395,200,1932.757918
-232.044854,200,1935.050383
-229.942876,200,1937.367951
-202.280375,200,1939.711081
-230.441771,200,1942.012557
-220.560772,200,1944.309803
-218.877456,200,1946.576395
-233.526209,200,1948.84148
-229.356244,200,1951.136168
-215.682658,200,1953.457067
-244.246522,200,1955.99977
-220.247365,200,1958.540333
-212.595342,200,1960.987711
-230.527299,200,1963.6629
-204.41144,200,1966.631166
-221.795864,200,1969.209769
-223.754321,200,1971.699413
